location,count,proportion
HUP/PCAM/Presby/Pennsy,41,0.26973684210526316
Other,26,0.17105263157894737
Thomas Jefferson University Hospital,19,0.125
N/A,14,0.09210526315789473
Main Line Health,11,0.07236842105263158
Temple Health,5,0.03289473684210526
Tower Health,5,0.03289473684210526
Penn Doylestown,4,0.02631578947368421
St. Luke's University Health Network,3,0.019736842105263157
Virtua Health,2,0.013157894736842105
Thomas Jefferson University Hospital and Main Line Health,1,0.006578947368421052
Other (AMI),1,0.006578947368421052
Other Phoenixville,1,0.006578947368421052
Other Trinity Health,1,0.006578947368421052
"Other Christiana, Willmington Delaware",1,0.006578947368421052
Geisinger and Other,1,0.006578947368421052
Other St Mary's,1,0.006578947368421052
Other Chester County,1,0.006578947368421052
Other Larchmont Imaging,1,0.006578947368421052
Lehigh Valley Health Network,1,0.006578947368421052
Other Crozer,1,0.006578947368421052
Other St. Christopher's Hospital,1,0.006578947368421052
Penn Princeton,1,0.006578947368421052
Other - unknown,1,0.006578947368421052
Other (Doylestown),1,0.006578947368421052
Other - Upper Dublin MRI,1,0.006578947368421052
Other Yale,1,0.006578947368421052
Other SJRA,1,0.006578947368421052
Other NYU,1,0.006578947368421052
Other (Chester County Hospital),1,0.006578947368421052
Geisinger,1,0.006578947368421052
