imaging_complete,images_available,report_available,repeat_visit,why_imaging_not_available,why_repeat_visit,count,is_ocrevus_reference,attending_addendum,mean_pat_age,num_auth_prov
YES,YES,YES,NO,,,29,5,0,52.206896551724135,5
YES,YES,YES,N/A,,,10,4,0,50.4,2
YES,YES,YES,,Patient forgot to bring discs,Other,1,0,0,33.0,1
YES,YES,YES,,Not relevant,Outdated/insufficient prior imaging,1,0,0,27.0,1
YES,YES,YES,,Not relevant,No additional/repeat diagnostic visit scheduled,12,3,4,54.333333333333336,4
YES,YES,YES,,Not relevant,Need repeat for diagnostic/treatment criteria,1,0,0,31.0,1
YES,YES,YES,,Imaging available,No additional/repeat diagnostic visit scheduled,1,0,0,71.0,1
YES,YES,YES,,,Outdated/insufficient prior imaging,1,1,0,39.0,1
YES,YES,NO,NO,,,3,1,0,32.666666666666664,3
YES,YES,NO,,Not relevant,No additional/repeat diagnostic visit scheduled,1,0,1,41.0,1
YES,YES,N/A,NO,,,1,0,0,44.0,1
YES,SOME,YES,YES,,,1,0,0,26.0,1
YES,SOME,YES,NO,,,1,0,0,47.0,1
YES,SOME,YES,,Patient forgot to bring discs,Other,1,1,0,44.0,1
YES,SOME,YES,,Patient forgot to bring discs,No relevant prior imaging available,2,1,0,60.0,1
YES,SOME,SOME,NO,,,1,0,0,61.0,1
YES,SOME,SOME,,Patient forgot to bring discs,Outdated/insufficient prior imaging,1,0,0,51.0,1
YES,NO,YES,YES,,,4,2,0,58.0,3
YES,NO,YES,NO,,,15,3,3,47.46666666666667,5
YES,NO,YES,N/A,,,6,0,0,50.333333333333336,3
YES,NO,YES,,Patient forgot to bring discs,Outdated/insufficient prior imaging,1,1,0,36.0,1
YES,NO,YES,,Patient forgot to bring discs,No relevant prior imaging available,8,0,0,42.375,3
YES,NO,YES,,Patient forgot to bring discs,No additional/repeat diagnostic visit scheduled,2,1,1,29.0,1
YES,NO,YES,,Patient forgot to bring discs,Need repeat for diagnostic/treatment criteria,1,0,1,53.0,1
YES,NO,YES,,Other,No additional/repeat diagnostic visit scheduled,1,0,0,75.0,1
YES,NO,YES,,Other,Need repeat for diagnostic/treatment criteria,3,0,0,59.333333333333336,2
YES,NO,YES,,Front desk error/delay,Need repeat for diagnostic/treatment criteria,1,0,0,49.0,1
YES,NO,SOME,NO,,,1,0,0,63.0,1
YES,NO,SOME,,Patient forgot to bring discs,No additional/repeat diagnostic visit scheduled,1,0,0,27.0,1
YES,NO,NO,YES,,,3,0,0,70.0,3
YES,NO,NO,NO,,,2,0,0,51.0,2
YES,NO,NO,,Penn/Ambra system error/delay,Other,1,0,0,74.0,1
YES,NO,NO,,Patient forgot to bring discs,Outdated/insufficient prior imaging,1,0,0,57.0,1
YES,NO,NO,,Patient forgot to bring discs,No relevant prior imaging available,1,0,0,53.0,1
YES,NO,NO,,Other,No additional/repeat diagnostic visit scheduled,1,0,0,77.0,1
YES,NO,NO,,Other,Need repeat for diagnostic/treatment criteria,1,0,0,63.0,1
NO,YES,YES,NO,,,1,0,0,46.0,1
NO,NO,YES,,Family forgot to bring,For review of MRI,1,0,0,71.0,1
NO,NO,NO,YES,,,1,1,0,60.0,1
NO,NO,NO,NO,,,1,1,0,45.0,1
NO,N/A,N/A,N/A,,,25,13,1,54.64,1
