,source,target,level,color,hovercolor,path,ocrevus,label,value
0,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Virtua Health-->YES-->YES-->N/A,0,START-->YES-->Virtua Health-->YES-->YES-->N/A,1
1,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Tower Health-->YES-->YES-->NO,0,START-->YES-->Tower Health-->YES-->YES-->NO,1
2,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Tower Health-->NO-->YES-->NO,1,START-->YES-->Tower Health-->NO-->YES-->NO,3
3,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->YES-->YES-->NO,2
4,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,0,START-->YES-->Thomas Jefferson University Hospital-->SOME-->YES-->YES,1
5,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,1,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->YES,2
6,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->NO,0,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->NO,4
7,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->N/A,0,START-->YES-->Thomas Jefferson University Hospital-->NO-->YES-->N/A,2
8,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Temple Health-->NO-->YES-->NO,0,START-->YES-->Temple Health-->NO-->YES-->NO,1
9,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->YES,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->YES,1
10,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->NO,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->NO,1
11,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->St. Luke's University Health Network-->NO-->YES-->N/A,0,START-->YES-->St. Luke's University Health Network-->NO-->YES-->N/A,1
12,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Penn Princeton-->SOME-->SOME-->NO,0,START-->YES-->Penn Princeton-->SOME-->SOME-->NO,1
13,0,1,1,"rgba(0,255,0,0.2)","rgba(0,255,0,1.0)",START-->YES-->Penn Doylestown-->YES-->YES-->NO,0,START-->YES-->Penn Doylestown-->YES-->YES-->NO,1
14,0,1,1,"rgba(0,255,0,0.25)","rgba(0,255,0,1.0)",START-->YES-->Other Yale-->NO-->YES-->NO,1,START-->YES-->Other Yale-->NO-->YES-->NO,1
