,answer,column,label,color,idx,level
0,START,smartphrase,Smartphrase: START,"rgba(150,150,150,0.8)",0,0
1,YES,imaging_complete,Imaging Complete: YES,"rgba(0,255,0,0.8)",1,1
2,NO,imaging_complete,Imaging Complete: NO,"rgba(255,0,0,0.8)",2,1
3,Virtua Health,location,Location: Virtua Health,"rgba(0,0,255,0.8)",3,2
4,Tower Health,location,Location: Tower Health,"rgba(0,0,255,0.8)",4,2
5,Thomas Jefferson University Hospital and Main Line Health,location,Location: Thomas Jefferson University Hospital and Main Line Health,"rgba(0,0,255,0.8)",5,2
6,Thomas Jefferson University Hospital,location,Location: Thomas Jefferson University Hospital,"rgba(0,0,255,0.8)",6,2
7,Temple Health,location,Location: Temple Health,"rgba(0,0,255,0.8)",7,2
8,St. Luke's University Health Network,location,Location: St. Luke's University Health Network,"rgba(0,0,255,0.8)",8,2
9,Penn Princeton,location,Location: Penn Princeton,"rgba(0,0,255,0.8)",9,2
10,Penn Doylestown,location,Location: Penn Doylestown,"rgba(0,0,255,0.8)",10,2
11,Other Yale,location,Location: Other Yale,"rgba(0,0,255,0.8)",11,2
12,Other Trinity Health,location,Location: Other Trinity Health,"rgba(0,0,255,0.8)",12,2
13,Other St. Christopher's Hospital,location,Location: Other St. Christopher's Hospital,"rgba(0,0,255,0.8)",13,2
14,Other SJRA,location,Location: Other SJRA,"rgba(0,0,255,0.8)",14,2
15,Other NYU,location,Location: Other NYU,"rgba(0,0,255,0.8)",15,2
16,Other Larchmont Imaging,location,Location: Other Larchmont Imaging,"rgba(0,0,255,0.8)",16,2
17,Other Crozer,location,Location: Other Crozer,"rgba(0,0,255,0.8)",17,2
18,Other - unknown,location,Location: Other - unknown,"rgba(0,0,255,0.8)",18,2
19,Other - Upper Dublin MRI,location,Location: Other - Upper Dublin MRI,"rgba(0,0,255,0.8)",19,2
20,Other (Doylestown),location,Location: Other (Doylestown),"rgba(0,0,255,0.8)",20,2
21,Other (Chester County Hospital),location,Location: Other (Chester County Hospital),"rgba(0,0,255,0.8)",21,2
22,Other (AMI),location,Location: Other (AMI),"rgba(0,0,255,0.8)",22,2
23,Other,location,Location: Other,"rgba(0,0,255,0.8)",23,2
24,N/A,location,Location: N/A,"rgba(0,0,255,0.8)",24,2
25,Main Line Health,location,Location: Main Line Health,"rgba(0,0,255,0.8)",25,2
26,Lehigh Valley Health Network,location,Location: Lehigh Valley Health Network,"rgba(0,0,255,0.8)",26,2
27,HUP/PCAM/Presby/Pennsy,location,Location: HUP/PCAM/Presby/Pennsy,"rgba(0,0,255,0.8)",27,2
28,Geisinger and Other,location,Location: Geisinger and Other,"rgba(0,0,255,0.8)",28,2
29,YES,images_available,Images Available: YES,"rgba(0,255,0,0.8)",29,3
30,NO,images_available,Images Available: NO,"rgba(255,0,0,0.8)",30,3
31,SOME,images_available,Images Available: SOME,"rgba(255,128,0,0.8)",31,3
32,N/A,images_available,Images Available: N/A,"rgba(150,150,150,0.8)",32,3
33,YES,report_available,Report Available: YES,"rgba(0,255,0,0.8)",33,4
34,SOME,report_available,Report Available: SOME,"rgba(255,128,0,0.8)",34,4
35,NO,report_available,Report Available: NO,"rgba(255,0,0,0.8)",35,4
36,N/A,report_available,Report Available: N/A,"rgba(150,150,150,0.8)",36,4
37,Not relevant,why_imaging_not_available,Why Imaging Not Available: Not relevant,"rgba(0,0,255,0.8)",37,5
38,Patient forgot to bring discs,why_imaging_not_available,Why Imaging Not Available: Patient forgot to bring discs,"rgba(0,0,255,0.8)",38,5
39,Imaging available,why_imaging_not_available,Why Imaging Not Available: Imaging available,"rgba(0,0,255,0.8)",39,5
40,Other,why_imaging_not_available,Why Imaging Not Available: Other,"rgba(0,0,255,0.8)",40,5
41,Family forgot to bring,why_imaging_not_available,Why Imaging Not Available: Family forgot to bring,"rgba(0,0,255,0.8)",41,5
42,No additional/repeat diagnostic visit scheduled,why_repeat_visit,Why Repeat Visit: No additional/repeat diagnostic visit scheduled,"rgba(0,0,255,0.8)",42,6
43,Need repeat for diagnostic/treatment criteria,why_repeat_visit,Why Repeat Visit: Need repeat for diagnostic/treatment criteria,"rgba(0,0,255,0.8)",43,6
44,No relevant prior imaging available,why_repeat_visit,Why Repeat Visit: No relevant prior imaging available,"rgba(0,0,255,0.8)",44,6
45,Other,why_repeat_visit,Why Repeat Visit: Other,"rgba(0,0,255,0.8)",45,6
46,Outdated/insufficient prior imaging,why_repeat_visit,Why Repeat Visit: Outdated/insufficient prior imaging,"rgba(0,0,255,0.8)",46,6
47,For review of MRI,why_repeat_visit,Why Repeat Visit: For review of MRI,"rgba(0,0,255,0.8)",47,6
